aa,ac,ag,at,cc,gc,ct,gt,tt,gg,ref_id,split_id
15.85491661,32.45060503,21.72505641,25.85100134,15.93851215,21.78990962,25.94785773,18.9040538,12.71148952,10.98471758,SARS-CoV-2_1_LEFT,SARS-CoV-2_1_LEFT
16.09236014,34.66971988,23.26315721,27.62110173,16.10984115,23.2784749,27.64398909,20.23288067,13.0311554,11.28649828,SARS-CoV-2_1_LEFT,SARS-CoV-2_1_RIGHT
14.5180903,30.44517489,24.69463202,26.82885035,15.48307858,25.9236127,28.33454671,23.38354043,13.55001744,12.481307,SARS-CoV-2_1_LEFT,SARS-CoV-2_2_LEFT
16.55087399,33.76316012,26.38433661,28.06815021,15.06068196,24.68576362,26.1154643,21.78541574,12.81323374,12.16795694,SARS-CoV-2_1_LEFT,SARS-CoV-2_2_RIGHT
16.06938118,30.10350898,27.98927369,27.94369792,13.93136091,24.94903067,24.91429378,23.53816692,13.02340849,13.04233451,SARS-CoV-2_1_LEFT,SARS-CoV-2_3_LEFT
15.14024338,29.08235002,23.37476709,28.33749509,14.44975414,22.64325989,27.20261032,22.22520588,14.07101608,11.71927262,SARS-CoV-2_1_LEFT,SARS-CoV-2_3_RIGHT
15.20137198,31.8782549,25.7489463,29.55872522,15.1345346,25.66328774,29.43954163,24.25507332,14.07121591,12.38088691,SARS-CoV-2_1_LEFT,SARS-CoV-2_4_LEFT
16.01938615,30.00756981,25.32509103,28.17373137,14.1169837,23.14994284,25.42464646,22.13173547,13.3096098,12.10545982,SARS-CoV-2_1_LEFT,SARS-CoV-2_4_RIGHT
15.76072858,30.55273025,27.33855386,26.78765826,14.38867782,25.43387349,24.96810292,22.91313348,12.73356708,12.97001235,SARS-CoV-2_1_LEFT,SARS-CoV-2_5_LEFT
13.99187892,25.90841186,22.78154312,31.19550143,13.63285741,22.34226292,30.28078154,25.9083699,16.84686837,11.95707055,SARS-CoV-2_1_LEFT,SARS-CoV-2_5_RIGHT
15.13041681,31.0779557,24.93881315,27.84072605,15.15827545,24.97226549,27.88412726,22.98280756,13.58433789,12.24798514,SARS-CoV-2_1_LEFT,SARS-CoV-2_6_LEFT
17.52974355,34.0304208,26.67634069,27.97167651,14.62260963,23.59228533,24.55518627,20.82467851,12.44442875,11.99018462,SARS-CoV-2_1_LEFT,SARS-CoV-2_6_RIGHT
14.71268342,30.93723633,22.8439856,30.16055745,15.47946394,23.63238902,31.72025964,23.2196236,15.07286445,11.5251213,SARS-CoV-2_1_LEFT,SARS-CoV-2_7_LEFT
16.27315729,36.8233766,22.58449946,25.16961491,17.21318076,23.31080246,26.10782125,18.55207314,12.08258052,11.09382523,SARS-CoV-2_1_LEFT,SARS-CoV-2_7_RIGHT
16.34391444,27.97665321,29.38024173,28.66544297,12.96354611,24.0859078,23.63602985,24.56699511,13.24583975,13.54114755,SARS-CoV-2_1_LEFT,SARS-CoV-2_8_LEFT
15.5511217,28.03208995,24.20344874,29.95833851,13.58046478,21.99329327,26.4382588,23.05912146,14.49448495,11.87015985,SARS-CoV-2_1_LEFT,SARS-CoV-2_8_RIGHT
15.69621674,31.97005129,23.81950658,28.09934669,15.25403046,23.37776482,27.45218289,21.43370346,13.46515684,11.62544576,SARS-CoV-2_1_LEFT,SARS-CoV-2_9_LEFT
15.24554248,32.40788321,22.87065318,27.83229553,15.8726621,23.46320536,28.78015217,21.19615969,13.62039369,11.40540651,SARS-CoV-2_1_LEFT,SARS-CoV-2_9_RIGHT
15.58166714,30.9340062,25.78470123,30.64274144,14.46760925,24.39921021,28.58464457,24.23383719,14.3395534,12.25703715,SARS-CoV-2_1_LEFT,SARS-CoV-2_10_LEFT
13.9909765,29.47422122,20.19616743,28.68282281,16.05499721,21.92531482,32.89525912,21.52508952,15.54531182,10.88597264,SARS-CoV-2_1_LEFT,SARS-CoV-2_10_RIGHT
17.04318874,33.57982456,25.82624024,28.71251448,14.75758892,23.4549444,25.71999787,21.23300147,12.90869343,11.84581821,SARS-CoV-2_1_LEFT,SARS-CoV-2_11_LEFT
14.96139518,33.38509378,22.43718783,26.93413382,16.78142722,24.09588049,29.54394261,20.85033913,13.42895745,11.3625349,SARS-CoV-2_1_LEFT,SARS-CoV-2_11_RIGHT
16.63326983,30.99472344,27.81409731,29.23286471,13.89158822,24.2209603,25.2326046,23.22172816,13.20416203,12.65703058,SARS-CoV-2_1_LEFT,SARS-CoV-2_12_LEFT
16.47499378,32.71978321,25.98048685,28.90689938,14.73370387,24.02667145,26.42720147,22.10740985,13.20187622,12.06111896,SARS-CoV-2_1_LEFT,SARS-CoV-2_12_RIGHT
15.68104031,33.80044241,24.06299746,28.07301091,15.8996985,24.2824162,28.38936232,21.47158838,13.32826854,11.64565386,SARS-CoV-2_1_LEFT,SARS-CoV-2_13_LEFT
16.66119908,31.49157355,26.76046876,30.00274211,14.05869038,23.64776661,26.01307548,22.88127257,13.4801544,12.24139526,SARS-CoV-2_1_LEFT,SARS-CoV-2_13_RIGHT
